,State,District,Persons,Males,Females,Growth..1991...2001.,Persons..literate,Males..Literate,Females..Literate,Total.Educated,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Total.workers
167,Haryana,"District Rohtak (14), Haryana (06)",940128,509038,431090,20.99,592485,360566,231919,592485,141601,100047,182301,47537,371073
168,Haryana,"District Jhajjar * (15), Haryana (06)",880072,476475,403597,24.09,541635,335836,205799,541635,139426,100081,167785,24836,388715
169,Haryana,"District Mahendragarh (16), Haryana (06)",812521,423578,388943,19.09,478296,299145,179151,478296,138412,91716,117411,19064,351864
170,Haryana,"District Rewari (17), Haryana (06)",765351,403034,362317,25.24,488190,299560,188630,488190,126813,93964,141258,26537,333622
171,Haryana,"District Gurgaon (18), Haryana (06)",1660289,886451,773838,44.64,834693,538508,296185,834693,202181,129579,212394,76434,629658
172,Haryana,"District Faridabad (19), Haryana (06)",2194586,1193063,1001523,48.47,1269801,804492,465309,1269801,287742,204851,354094,126692,785762
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
173,HP,"District Chamba (01), Himachal Pradesh (02)",460887,235218,225669,17.09,246169,152533,93636,246169,75341,34228,51105,8997,230452
174,HP,"District Kangra (02), Himachal Pradesh (02)",1339030,661254,677776,14.01,940505,500383,440122,940505,259382,174315,287036,44916,588994
175,HP,"District Lahul & Spiti (03), Himachal Pradesh (02)",33224,18441,14783,6.17,21609,13726,7883,21609,5439,3288,5098,1164,21088
176,HP,"District Kullu (04), Himachal Pradesh (02)",381571,198016,183555,25.6,239649,143655,95994,239649,68910,35947,53725,11636,216513
177,HP,"District Mandi (05), Himachal Pradesh (02)",901344,447872,453472,16.05,587884,331171,256713,587884,165195,95535,173205,26714,454292
178,HP,"District Hamirpur (06), Himachal Pradesh (02)",412700,196593,216107,11.62,298498,152537,145961,298498,79284,59251,96848,15783,205405
179,HP,"District Una (07), Himachal Pradesh (02)",448273,224524,223749,18.43,312278,168450,143828,312278,88129,57583,93782,13646,201658
180,HP,"District Bilaspur (08), Himachal Pradesh (02)",340885,171263,169622,15.35,231733,127738,103995,231733,67592,42373,68148,11726,166708
